game,type,target,predictor,r_squared,coef,p_value,n_obs,r_squared_adj
athey_bagwell,SLR,average_profit,coordination,0.0012889314907834348,-195.79229933963524,0.8677275444535941,24,
athey_bagwell,SLR,average_profit,deception,0.0012889314907834376,195.7922993396355,0.8677275444535939,24,
athey_bagwell,SLR,average_profit,rationality,0.6657971148821102,1926.7075113867636,1.1736826634063662e-06,24,
athey_bagwell,SLR,average_profit,reasoning,0.0012889314907834348,-195.79229933963524,0.8677275444535941,24,
athey_bagwell,SLR,productive_efficiency,coordination,0.0021750942572099294,0.04650739978171405,0.8286771535391297,24,
athey_bagwell,SLR,productive_efficiency,deception,0.002175094257209924,-0.046507399781714,0.8286771535391299,24,
athey_bagwell,SLR,productive_efficiency,rationality,0.7448018726268437,0.3726211866359634,5.7466765653657683e-08,24,
athey_bagwell,SLR,productive_efficiency,reasoning,0.0021750942572099294,0.04650739978171405,0.8286771535391297,24,
athey_bagwell,SLR,win_rate,coordination,0.1631627135013745,-0.33437985552874355,0.05028124439871141,24,
athey_bagwell,SLR,win_rate,deception,0.16316271350137443,0.3343798555287435,0.05028124439871145,24,
athey_bagwell,SLR,win_rate,rationality,0.5137860621662542,0.25691233248267087,8.122812994935228e-05,24,
athey_bagwell,SLR,win_rate,reasoning,0.1631627135013745,-0.33437985552874355,0.05028124439871141,24,
green_porter,SLR,average_profit,cooperation,0.0035462834240472295,-126.03278561895914,0.7822341851061413,24,
green_porter,SLR,average_profit,deception,0.0035462834240472195,126.03278561895898,0.7822341851061416,24,
green_porter,SLR,average_profit,rationality,0.0035462834240472295,-126.03278561895914,0.7822341851061413,24,
green_porter,SLR,reversion_frequency,cooperation,0.7050863090659113,-0.01235430215089381,2.890874020691188e-07,24,
green_porter,SLR,reversion_frequency,deception,0.7050863090659117,0.012354302150893818,2.890874020691167e-07,24,
green_porter,SLR,reversion_frequency,rationality,0.7050863090659113,-0.01235430215089381,2.890874020691188e-07,24,
green_porter,SLR,win_rate,cooperation,0.011640206355668951,0.010309081347067444,0.6158062077838806,24,
green_porter,SLR,win_rate,deception,0.011640206355668939,-0.010309081347067442,0.6158062077838807,24,
green_porter,SLR,win_rate,rationality,0.011640206355668951,0.010309081347067444,0.6158062077838806,24,
salop,SLR,average_profit,cooperation,0.754457853517918,-1139.1388805424679,3.738063809314898e-08,24,
salop,SLR,average_profit,judgment,0.8166082180860172,2705.283327369695,1.4554128023909582e-09,24,
salop,SLR,average_profit,rationality,0.8166082180860172,2705.283327369695,1.4554128023909582e-09,24,
salop,SLR,average_profit,reasoning,0.7641421726606775,2272.1199420235885,2.3874315734864285e-08,24,
salop,SLR,market_price,cooperation,0.8237088911119308,1.4299082650537485,9.38956865773267e-10,24,
