game,condition,target_type,target,analysis,feature,r_squared,r_squared_adj,coef,p_value,n_obs
athey_bagwell,baseline,magic,deception,SLR,version,0.3743186329367152,,0.7087572102779243,0.03449716624727688,12
athey_bagwell,baseline,magic,reasoning,MLR_Combined,version,0.9170749300527984,0.8175648461161564,-0.3447950556373093,0.00778849199946379,12
athey_bagwell,more_players,magic,reasoning,MLR_Combined,version,0.8825967082862689,0.7417127582297915,-0.24753519148819914,0.03233086159489577,12
athey_bagwell,baseline,magic,reasoning,SLR,version,0.8805349940022619,,-0.3034372301939164,6.311480148863137e-06,12
athey_bagwell,more_players,magic,reasoning,SLR,version,0.8567845162619064,,-0.2637066219918871,1.5802707731850178e-05,12
athey_bagwell,more_players,magic,reasoning,SLR,family_encoded,0.366381238058775,,0.12728967223252963,0.03702006453978742,12
green_porter,more_players,magic,coordination,MLR_Combined,family_encoded,0.6787807469165725,0.2933176432164595,0.6721895658825902,0.035091684747470625,12
green_porter,more_players,performance,reversion_frequency,SLR,reasoning_chars,0.3740213215734973,,2.657300535880591e-07,0.03458890932114527,12
green_porter,more_players,performance,reversion_frequency,SLR,thinking,0.3684926845865939,,0.005066666666666643,0.036333820224975166,12
green_porter,more_players,performance,reversion_frequency,SLR,architecture_moe,0.3546492976230986,,-0.004365714285714303,0.041041952724189854,12
green_porter,baseline,performance,win_rate,MLR_Combined,thinking,0.7874361068700095,0.532359435114021,-0.29478644676433374,0.023977789800377333,12
green_porter,baseline,performance,win_rate,MLR_Combined,reasoning_chars,0.7874361068700095,0.532359435114021,1.3434145667624143e-05,0.03683442256306287,12
salop,more_players,performance,average_profit,SLR,thinking,0.722899314343276,,715.3929346116844,0.0004588844181436858,12
salop,more_players,performance,average_profit,SLR,reasoning_chars,0.7079232449988049,,0.03685389749658541,0.0006020200753982216,12
salop,baseline,performance,average_profit,SLR,reasoning_chars,0.5307116458068802,,0.047920778562578446,0.0072074715859924915,12
salop,baseline,performance,average_profit,SLR,family_encoded,0.5156003520437107,,796.9194417085373,0.008537489563406315,12
salop,baseline,performance,average_profit,SLR,thinking,0.5075076117339652,,900.1838968127593,0.009330116312993408,12
salop,more_players,performance,average_profit,SLR,family_encoded,0.45644913237561224,,499.2864650230721,0.015891982692026824,12
salop,more_players,magic,cooperation,SLR,thinking,0.6993103448275861,,-0.8666666666666666,0.00069955886923116,12
salop,more_players,magic,cooperation,SLR,reasoning_chars,0.6848129625233919,,-4.464652892062529e-05,0.0008926228316843399,12
