analysis,component,explained_variance,cumulative_variance
magic_athey_bagwell,PC1,0.6177039860346945,0.6177039860346945
magic_athey_bagwell,PC2,0.3652846312539709,0.9829886172886654
magic_athey_bagwell,PC3,0.016901879536447492,0.9998904968251129
magic_athey_bagwell,PC4,0.00010950317488725028,1.0000000000000002
magic_green_porter,PC1,0.9154129034223004,0.9154129034223004
magic_green_porter,PC2,0.08458709657769954,1.0
magic_salop,PC1,0.9065364153772681,0.9065364153772681
magic_salop,PC2,0.06154167745733715,0.9680780928346053
magic_salop,PC3,0.0319219071653947,1.0
magic_spulber,PC1,0.7596844798573027,0.7596844798573027
magic_spulber,PC2,0.19445629212790327,0.954140771985206
magic_spulber,PC3,0.04524051190887806,0.999381283894084
magic_spulber,PC4,0.0006187161059158837,0.9999999999999999
model_features,PC1,0.5237071391575092,0.5237071391575092
model_features,PC2,0.2722931564918243,0.7960002956493335
model_features,PC3,0.163691979523758,0.9596922751730915
model_features,PC4,0.040307724826908316,0.9999999999999999
perf_athey_bagwell,PC1,0.8423333085400516,0.8423333085400516
perf_athey_bagwell,PC2,0.11319627225954759,0.9555295807995992
perf_athey_bagwell,PC3,0.04447041920040078,0.9999999999999999
perf_green_porter,PC1,0.545534514125161,0.545534514125161
perf_green_porter,PC2,0.35462604342207893,0.9001605575472399
perf_green_porter,PC3,0.09983944245276007,1.0
perf_salop,PC1,0.7429586350739257,0.7429586350739257
perf_salop,PC2,0.22116743722258478,0.9641260722965105
perf_salop,PC3,0.035873927703489544,1.0
perf_spulber,PC1,0.7400191729303762,0.7400191729303762
perf_spulber,PC2,0.25370805507658056,0.9937272280069568
perf_spulber,PC3,0.006272771993043205,1.0
