game,type,target,predictor,r_squared,coef,p_value,n_obs,r_squared_adj
athey_bagwell,magic_to_performance,average_profit,cooperation,0.8954,-1564.4922,0.1858,24,0.8734
athey_bagwell,magic_to_performance,average_profit,deception,0.8954,-1850.1918,0.0,24,0.8734
athey_bagwell,magic_to_performance,average_profit,rationality,0.8954,2040.2395,0.0913,24,0.8734
athey_bagwell,magic_to_performance,average_profit,reasoning,0.8954,-3261.632,0.0069,24,0.8734
athey_bagwell,magic_to_performance,productive_efficiency,cooperation,0.9965,-0.2379,0.0,24,0.9958
athey_bagwell,magic_to_performance,productive_efficiency,deception,0.9965,-0.008,0.4607,24,0.9958
athey_bagwell,magic_to_performance,productive_efficiency,rationality,0.9965,1.4203,0.0,24,0.9958
athey_bagwell,magic_to_performance,productive_efficiency,reasoning,0.9965,0.6667,0.0,24,0.9958
athey_bagwell,magic_to_performance,win_rate,cooperation,0.7619,0.9278,0.0021,24,0.7118
athey_bagwell,magic_to_performance,win_rate,deception,0.7619,-0.0388,0.598,24,0.7118
athey_bagwell,magic_to_performance,win_rate,rationality,0.7619,-0.6521,0.0225,24,0.7118
athey_bagwell,magic_to_performance,win_rate,reasoning,0.7619,-1.2044,0.0001,24,0.7118
green_porter,magic_to_performance,average_profit,cooperation,0.006,-270.2815,0.7337,24,-0.0887
green_porter,magic_to_performance,average_profit,coordination,0.006,164.7457,0.8223,24,-0.0887
green_porter,magic_to_performance,reversion_frequency,cooperation,0.7095,-0.0137,0.0001,24,0.6819
green_porter,magic_to_performance,reversion_frequency,coordination,0.7095,0.0015,0.576,24,0.6819
green_porter,magic_to_performance,win_rate,cooperation,0.2947,-0.0597,0.0582,24,0.2275
green_porter,magic_to_performance,win_rate,coordination,0.2947,0.08,0.0085,24,0.2275
salop,magic_to_performance,average_profit,cooperation,0.8543,632.5424,0.0031,24,0.8324
salop,magic_to_performance,average_profit,rationality,0.8543,191.0882,0.4618,24,0.8324
salop,magic_to_performance,average_profit,reasoning,0.8543,1696.8535,0.0,24,0.8324
salop,magic_to_performance,market_price,cooperation,0.8019,1.5417,0.0,24,0.7722
salop,magic_to_performance,market_price,rationality,0.8019,1.6162,0.0005,24,0.7722
salop,magic_to_performance,market_price,reasoning,0.8019,-0.9951,0.0303,24,0.7722
salop,magic_to_performance,win_rate,cooperation,0.9887,0.0988,0.0159,24,0.987
salop,magic_to_performance,win_rate,rationality,0.9887,1.0048,0.0,24,0.987
salop,magic_to_performance,win_rate,reasoning,0.9887,0.1044,0.073,24,0.987
spulber,magic_to_performance,allocative_efficiency,judgment,0.9867,0.0364,0.2127,24,0.9839
spulber,magic_to_performance,allocative_efficiency,rationality,0.9867,0.9888,0.0,24,0.9839
spulber,magic_to_performance,allocative_efficiency,reasoning,0.9867,-0.4298,0.0,24,0.9839
spulber,magic_to_performance,allocative_efficiency,self_awareness,0.9867,-0.0104,0.8854,24,0.9839
spulber,magic_to_performance,average_profit,judgment,0.9131,91.1569,0.252,24,0.8948
spulber,magic_to_performance,average_profit,rationality,0.9131,59.2318,0.8241,24,0.8948
spulber,magic_to_performance,average_profit,reasoning,0.9131,1695.7444,0.0,24,0.8948
spulber,magic_to_performance,average_profit,self_awareness,0.9131,435.1174,0.038,24,0.8948
spulber,magic_to_performance,win_rate,judgment,0.9819,0.0952,0.1996,24,0.9781
spulber,magic_to_performance,win_rate,rationality,0.9819,-0.367,0.1491,24,0.9781
spulber,magic_to_performance,win_rate,reasoning,0.9819,3.2167,0.0,24,0.9781
spulber,magic_to_performance,win_rate,self_awareness,0.9819,1.036,0.0,24,0.9781
