game,type,target,predictor,r_squared,coef,p_value,vif,n_obs,r_squared_adj
athey_bagwell,features_to_performance,average_profit,architecture_moe,0.7495,966.0525,0.0002,3.12,24,0.6799
athey_bagwell,features_to_performance,average_profit,size_params,0.7495,24.9824,0.0,1.71,24,0.6799
athey_bagwell,features_to_performance,average_profit,family_encoded,0.7495,201.516,0.42,3.55,24,0.6799
athey_bagwell,features_to_performance,average_profit,family_version,0.7495,29.4922,0.8495,2.8,24,0.6799
athey_bagwell,features_to_performance,average_profit,thinking,0.7495,808.4483,0.0005,1.81,24,0.6799
athey_bagwell,features_to_performance,productive_efficiency,architecture_moe,0.3869,0.1483,0.0202,3.12,24,0.2166
athey_bagwell,features_to_performance,productive_efficiency,size_params,0.3869,0.0025,0.0526,1.71,24,0.2166
athey_bagwell,features_to_performance,productive_efficiency,family_encoded,0.3869,-0.0878,0.2246,3.55,24,0.2166
athey_bagwell,features_to_performance,productive_efficiency,family_version,0.3869,-0.0629,0.1681,2.8,24,0.2166
athey_bagwell,features_to_performance,productive_efficiency,thinking,0.3869,0.1292,0.0306,1.81,24,0.2166
athey_bagwell,features_to_performance,win_rate,architecture_moe,0.4574,0.0994,0.0424,3.12,24,0.3066
athey_bagwell,features_to_performance,win_rate,size_params,0.4574,0.0014,0.1638,1.71,24,0.3066
athey_bagwell,features_to_performance,win_rate,family_encoded,0.4574,-0.0839,0.1414,3.55,24,0.3066
athey_bagwell,features_to_performance,win_rate,family_version,0.4574,0.0031,0.9286,2.8,24,0.3066
athey_bagwell,features_to_performance,win_rate,thinking,0.4574,0.1035,0.027,1.81,24,0.3066
green_porter,features_to_performance,average_profit,architecture_moe,0.0268,87.1189,0.8175,3.12,24,-0.2436
green_porter,features_to_performance,average_profit,size_params,0.0268,4.0121,0.6147,1.71,24,-0.2436
green_porter,features_to_performance,average_profit,family_encoded,0.0268,-103.2414,0.8197,3.55,24,-0.2436
green_porter,features_to_performance,average_profit,family_version,0.0268,-89.896,0.7519,2.8,24,-0.2436
green_porter,features_to_performance,average_profit,thinking,0.0268,46.113,0.8972,1.81,24,-0.2436
green_porter,features_to_performance,reversion_frequency,architecture_moe,0.4466,-0.001,0.6267,3.12,24,0.2928
green_porter,features_to_performance,reversion_frequency,size_params,0.4466,0.0,0.477,1.71,24,0.2928
green_porter,features_to_performance,reversion_frequency,family_encoded,0.4466,-0.0028,0.2508,3.55,24,0.2928
green_porter,features_to_performance,reversion_frequency,family_version,0.4466,-0.0019,0.2144,2.8,24,0.2928
green_porter,features_to_performance,reversion_frequency,thinking,0.4466,0.0049,0.0158,1.81,24,0.2928
green_porter,features_to_performance,win_rate,architecture_moe,0.532,-0.0051,0.6679,3.12,24,0.4019
green_porter,features_to_performance,win_rate,size_params,0.532,0.0004,0.0901,1.71,24,0.4019
green_porter,features_to_performance,win_rate,family_encoded,0.532,0.0391,0.0119,3.55,24,0.4019
green_porter,features_to_performance,win_rate,family_version,0.532,0.0074,0.4115,2.8,24,0.4019
green_porter,features_to_performance,win_rate,thinking,0.532,-0.0419,0.0013,1.81,24,0.4019
salop,features_to_performance,average_profit,architecture_moe,0.744,252.2101,0.1402,3.12,24,0.6729
salop,features_to_performance,average_profit,size_params,0.744,-2.5435,0.4691,1.71,24,0.6729
salop,features_to_performance,average_profit,family_encoded,0.744,276.5259,0.1754,3.55,24,0.6729
salop,features_to_performance,average_profit,family_version,0.744,-47.0717,0.7064,2.8,24,0.6729
salop,features_to_performance,average_profit,thinking,0.744,626.079,0.0007,1.81,24,0.6729
salop,features_to_performance,market_price,architecture_moe,0.774,0.3237,0.1292,3.12,24,0.7112
salop,features_to_performance,market_price,size_params,0.774,0.0261,0.0,1.71,24,0.7112
salop,features_to_performance,market_price,family_encoded,0.774,0.9896,0.0007,3.55,24,0.7112
salop,features_to_performance,market_price,family_version,0.774,0.4918,0.0048,2.8,24,0.7112
salop,features_to_performance,market_price,thinking,0.774,-0.5475,0.0107,1.81,24,0.7112
salop,features_to_performance,win_rate,architecture_moe,0.9564,0.1044,0.0448,3.12,24,0.9443
salop,features_to_performance,win_rate,size_params,0.9564,0.0004,0.6644,1.71,24,0.9443
salop,features_to_performance,win_rate,family_encoded,0.9564,0.0807,0.1819,3.55,24,0.9443
salop,features_to_performance,win_rate,family_version,0.9564,-0.0223,0.5488,2.8,24,0.9443
salop,features_to_performance,win_rate,thinking,0.9564,0.7264,0.0,1.81,24,0.9443
spulber,features_to_performance,allocative_efficiency,architecture_moe,0.2786,-0.0448,0.6703,3.12,24,0.0782
spulber,features_to_performance,allocative_efficiency,size_params,0.2786,-0.0003,0.8821,1.71,24,0.0782
spulber,features_to_performance,allocative_efficiency,family_encoded,0.2786,0.0537,0.6707,3.55,24,0.0782
spulber,features_to_performance,allocative_efficiency,family_version,0.2786,0.1313,0.1092,2.8,24,0.0782
