game,metric,mean_3P,mean_5P,mean_diff,t_statistic,p_value,sig,n_models
athey_bagwell,win_rate,0.8846,0.9323,-0.0477,-2.9625,0.011865963346787975,*,13
green_porter,win_rate,0.9738,0.9738,0.0,0.0,0.9999999999999971,,13
salop,win_rate,0.2308,0.2692,-0.0385,-1.3284,0.20874929940686046,,13
spulber,win_rate,0.5208,0.4177,0.1031,1.5393,0.1496624326087213,,13
athey_bagwell,average_profit,3974.9908,3790.3485,184.6423,4.2071,0.001216426273332372,**,13
green_porter,average_profit,2643.2056,1552.7653,1090.4403,75.7388,1.8686267639044708e-17,***,13
salop,average_profit,549.0724,316.449,232.6233,3.2795,0.006585647717266786,**,13
spulber,average_profit,93.4476,13.0266,80.421,1.9756,0.07165158249950639,,13
salop,market_price,12.9718,12.837,0.1349,1.2013,0.25281800181472086,,13
spulber,allocative_efficiency,0.5162,0.4269,0.0892,3.1844,0.007857305838358853,**,13
green_porter,reversion_frequency,0.1306,0.1279,0.0026,3.6127,0.00356178912204966,**,13
athey_bagwell,productive_efficiency,0.5381,0.4298,0.1083,15.3473,2.990576467631803e-09,***,13
