Model,athey_bagwell_3P ↑,athey_bagwell_5P ↑,athey_bagwell_5P_p_value,green_porter_3P ↑,green_porter_5P ↑,green_porter_5P_p_value,salop_3P ↑,salop_5P ↑,salop_5P_p_value,spulber_3P ↑,spulber_5P ↑,spulber_5P_p_value
Q3-14B (TD),2720.040 ± 1722.832,2545.944 ± 1559.186,0.0012,2538.024 ± 776.071,1390.805 ± 529.558,0.0,567.194 ± 581.119,183.528 ± 380.912,0.0066,33.750 ± 147.854,0.000,0.0717
Q3-14B (TE),4362.513 ± 2084.718,4274.992 ± 2126.413,0.0012,2599.654 ± 831.451,1523.625 ± 660.916,0.0,949.573 ± 683.732,880.000 ± 274.064,0.0066,390.454 ± 146.829,275.496 ± 98.262,0.0717
Q3-235B Inst,4362.513 ± 2084.718,4274.992 ± 2126.413,0.0012,2538.024 ± 776.071,1474.878 ± 590.195,0.0,629.915 ± 746.310,167.692 ± 377.138,0.0066,350.347 ± 123.792,338.625 ± 137.314,0.0717
Qwen3-30B-A3B (TD),4362.057 ± 2085.565,3838.192 ± 2402.793,0.0012,2826.141 ± 1042.926,1715.177 ± 767.194,0.0,1312.239 ± 163.142,638.108 ± 714.367,0.0066,253.000 ± 74.981,244.750 ± 86.478,0.0717
Qwen3-30B-A3B (TE),4362.513 ± 2084.718,4274.992 ± 2126.413,0.0012,2557.709 ± 793.999,1410.698 ± 549.329,0.0,1372.222 ± 87.841,800.000 ± 454.606,0.0066,367.410 ± 161.302,261.111 ± 102.295,0.0717
Q3-32B (TD),3884.064 ± 1550.506,3697.544 ± 1446.526,0.0012,2538.627 ± 775.967,1390.805 ± 529.558,0.0,29.206 ± 264.686,124.444 ± 476.665,0.0066,184.250 ± 129.960,248.688 ± 84.155,0.0717
Q3-32B (TE),4363.823 ± 2093.076,4297.463 ± 2101.469,0.0012,2750.723 ± 985.335,1622.408 ± 740.545,0.0,1383.333 ± 90.911,880.000 ± 332.666,0.0066,361.334 ± 157.711,234.272 ± 153.312,0.0717
L3.3-70B,4362.513 ± 2084.718,4274.992 ± 2126.413,0.0012,2820.731 ± 1063.879,1765.822 ± 828.820,0.0,-64.720 ± 94.482,-100.000,0.0066,-197.885 ± 22.444,-201.026 ± 89.354,0.0717
L4-Maverick,4455.135 ± 2010.686,4433.123 ± 2039.508,0.0012,2541.221 ± 776.336,1395.973 ± 525.401,0.0,428.102 ± 469.755,319.167 ± 755.944,0.0066,3.780 ± 37.800,0.000,0.0717
L4-Scout,3744.353 ± 1691.945,3539.288 ± 1689.605,0.0012,2538.024 ± 776.071,1524.724 ± 605.466,0.0,147.904 ± 372.215,-83.333 ± 52.705,0.0066,52.500 ± 168.015,5.938 ± 59.375,0.0717
L3.1-70B,4362.513 ± 2084.718,4274.992 ± 2126.413,0.0012,2835.537 ± 1070.323,1781.133 ± 836.683,0.0,-67.360 ± 94.306,-54.392 ± 144.224,0.0066,6.750 ± 67.500,1.968 ± 49.380,0.0717
L3.1-8B,3049.533 ± 1184.755,2583.163 ± 1005.153,0.0012,2553.213 ± 797.988,1553.819 ± 701.018,0.0,31.250 ± 415.049,46.250 ± 462.483,0.0066,207.030 ± 168.570,-321.750 ± 32.500,0.0717
Random,3283.310 ± 1606.036,2964.856 ± 1898.779,0.0012,2724.044 ± 985.884,1636.084 ± 749.477,0.0,419.083 ± 669.642,312.374 ± 832.977,0.0066,-797.901 ± 1263.941,-918.724 ± 1241.528,0.0717
