Model,athey_bagwell_3P ↑,athey_bagwell_5P ↑,green_porter_3P ↑,green_porter_5P ↑,salop_3P ↑,salop_5P ↑,spulber_3P ↑,spulber_5P ↑
Q3-14B Inst,0.560 ± 0.501,0.740 ± 0.443,1.000,1.000,0.000,0.100 ± 0.316,0.160 ± 0.368,0.040 ± 0.197
Q3-14B Think,0.900 ± 0.303,0.960 ± 0.198,0.920 ± 0.274,0.940 ± 0.240,0.700 ± 0.483,0.800 ± 0.422,0.880 ± 0.327,0.890 ± 0.314
Q3-235B Inst,0.900 ± 0.303,0.960 ± 0.198,1.000,1.000,0.200 ± 0.422,0.100 ± 0.316,0.890 ± 0.314,0.860 ± 0.349
Q3-30B Inst,0.900 ± 0.303,0.860 ± 0.351,0.980 ± 0.141,0.980 ± 0.141,0.300 ± 0.483,0.200 ± 0.422,0.920 ± 0.273,0.890 ± 0.314
Qwen3-30B-A3B (Thinking On),0.900 ± 0.303,0.960 ± 0.198,0.940 ± 0.240,0.940 ± 0.240,0.800 ± 0.422,0.900 ± 0.316,0.860 ± 0.349,0.890 ± 0.314
Q3-32B Inst,0.880 ± 0.328,0.960 ± 0.198,1.000,1.000,0.000,0.100 ± 0.316,0.690 ± 0.465,0.900 ± 0.302
Q3-32B Think,0.900 ± 0.303,0.960 ± 0.198,1.000,0.980 ± 0.141,0.800 ± 0.422,1.000,0.880 ± 0.327,0.730 ± 0.446
L3.3-70B,0.900 ± 0.303,0.960 ± 0.198,0.980 ± 0.141,0.980 ± 0.141,0.000,0.000,0.000,0.000
L4-Maverick,0.980 ± 0.141,0.980 ± 0.141,0.940 ± 0.240,0.940 ± 0.240,0.000,0.200 ± 0.422,0.170 ± 0.378,0.040 ± 0.197
L4-Scout,1.000,1.000,1.000,1.000,0.000,0.000,0.160 ± 0.368,0.040 ± 0.197
L3.1-70B,0.900 ± 0.303,0.960 ± 0.198,0.980 ± 0.141,0.980 ± 0.141,0.000,0.000,0.170 ± 0.378,0.050 ± 0.219
L3.1-8B,0.860 ± 0.351,0.940 ± 0.240,0.960 ± 0.198,0.960 ± 0.198,0.000,0.000,0.840 ± 0.368,0.000
Random,0.920 ± 0.274,0.880 ± 0.328,0.960 ± 0.198,0.960 ± 0.198,0.200 ± 0.422,0.100 ± 0.316,0.150 ± 0.359,0.100 ± 0.302
