condition,baseline,baseline,baseline,more_players,more_players,more_players
metric,average_profit,reversion_frequency,win_rate,average_profit,reversion_frequency,win_rate
model,,,,,,
Qwen/Qwen3-14B-Thinking-Off,"2538.02 [2538.02, 2538.02]","0.13 [0.13, 0.13]","1.00 [1.00, 1.00]","1390.80 [1390.80, 1390.80]","0.12 [0.12, 0.12]","1.00 [1.00, 1.00]"
Qwen/Qwen3-235B-A22B-Instruct-2507,"2538.02 [2538.02, 2538.02]","0.13 [0.13, 0.13]","1.00 [1.00, 1.00]","1474.88 [1474.88, 1474.88]","0.12 [0.12, 0.12]","1.00 [1.00, 1.00]"
Qwen/Qwen3-30B-A3B-Thinking-Off,"2826.14 [2826.14, 2826.14]","0.14 [0.14, 0.14]","0.98 [0.98, 0.98]","1715.18 [1715.18, 1715.18]","0.13 [0.13, 0.13]","0.98 [0.98, 0.98]"
Qwen/Qwen3-32B-Thinking-Off,"2538.63 [2538.63, 2538.63]","0.13 [0.13, 0.13]","1.00 [1.00, 1.00]","1390.80 [1390.80, 1390.80]","0.12 [0.12, 0.12]","1.00 [1.00, 1.00]"
google/gemma-3-27b-it,"2538.02 [2538.02, 2538.02]","0.13 [0.13, 0.13]","1.00 [1.00, 1.00]","1390.80 [1390.80, 1390.80]","0.12 [0.12, 0.12]","1.00 [1.00, 1.00]"
meta-llama/Llama-3.3-70B-Instruct-Turbo,"2820.73 [2820.73, 2820.73]","0.13 [0.13, 0.13]","0.98 [0.98, 0.98]","1765.82 [1765.82, 1765.82]","0.13 [0.13, 0.13]","0.98 [0.98, 0.98]"
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"2541.22 [2541.22, 2541.22]","0.13 [0.13, 0.13]","0.94 [0.94, 0.94]","1395.97 [1395.97, 1395.97]","0.12 [0.12, 0.12]","0.94 [0.94, 0.94]"
meta-llama/Llama-4-Scout-17B-16E-Instruct,"2538.02 [2538.02, 2538.02]","0.13 [0.13, 0.13]","1.00 [1.00, 1.00]","1524.72 [1524.72, 1524.72]","0.12 [0.12, 0.12]","1.00 [1.00, 1.00]"
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,"2835.54 [2835.54, 2835.54]","0.14 [0.14, 0.14]","0.98 [0.98, 0.98]","1781.13 [1781.13, 1781.13]","0.13 [0.13, 0.13]","0.98 [0.98, 0.98]"
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,"2553.21 [2553.21, 2553.21]","0.13 [0.13, 0.13]","0.96 [0.96, 0.96]","1553.82 [1553.82, 1553.82]","0.13 [0.13, 0.13]","0.96 [0.96, 0.96]"
random_agent,"2724.04 [2724.04, 2724.04]","0.13 [0.13, 0.13]","0.96 [0.96, 0.96]","1636.08 [1636.08, 1636.08]","0.13 [0.13, 0.13]","0.96 [0.96, 0.96]"
