condition,baseline,baseline,baseline,more_players,more_players,more_players
metric,average_profit,market_price,win_rate,average_profit,market_price,win_rate
model,,,,,,
Qwen/Qwen3-14B-Thinking-Off,"567.19 [567.19, 567.19]","13.04 [13.04, 13.04]","0.00 [0.00, 0.00]","183.53 [183.53, 183.53]","12.68 [12.68, 12.68]","0.10 [0.10, 0.10]"
Qwen/Qwen3-14B-Thinking-On,"949.57 [949.57, 949.57]","12.74 [12.74, 12.74]","0.70 [0.70, 0.70]","880.00 [880.00, 880.00]","12.42 [12.42, 12.42]","0.80 [0.80, 0.80]"
Qwen/Qwen3-235B-A22B-Instruct-2507,"629.91 [629.91, 629.91]","13.19 [13.19, 13.19]","0.20 [0.20, 0.20]","167.69 [167.69, 167.69]","13.32 [13.32, 13.32]","0.10 [0.10, 0.10]"
Qwen/Qwen3-30B-A3B-Thinking-Off,"1312.24 [1312.24, 1312.24]","12.60 [12.60, 12.60]","0.30 [0.30, 0.30]","638.11 [638.11, 638.11]","12.68 [12.68, 12.68]","0.20 [0.20, 0.20]"
Qwen/Qwen3-30B-A3B-Thinking-On,"1372.22 [1372.22, 1372.22]","12.11 [12.11, 12.11]","0.80 [0.80, 0.80]","800.00 [800.00, 800.00]","12.57 [12.57, 12.57]","0.90 [0.90, 0.90]"
Qwen/Qwen3-32B-Thinking-Off,"29.21 [29.21, 29.21]","13.66 [13.66, 13.66]","0.00 [0.00, 0.00]","124.44 [124.44, 124.44]","13.02 [13.02, 13.02]","0.10 [0.10, 0.10]"
Qwen/Qwen3-32B-Thinking-On,"1383.33 [1383.33, 1383.33]","12.13 [12.13, 12.13]","0.80 [0.80, 0.80]","880.00 [880.00, 880.00]","12.34 [12.34, 12.34]","1.00 [1.00, 1.00]"
google/gemma-3-27b-it,"1361.51 [1361.51, 1361.51]","12.38 [12.38, 12.38]","0.90 [0.90, 0.90]","916.67 [916.67, 916.67]","12.62 [12.62, 12.62]","0.90 [0.90, 0.90]"
meta-llama/Llama-3.3-70B-Instruct-Turbo,"-64.72 [-64.72, -64.72]","13.89 [13.89, 13.89]","0.00 [0.00, 0.00]","-100.00 [-100.00, -100.00]","13.10 [13.10, 13.10]","0.00 [0.00, 0.00]"
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"428.10 [428.10, 428.10]","13.26 [13.26, 13.26]","0.00 [0.00, 0.00]","319.17 [319.17, 319.17]","13.13 [13.13, 13.13]","0.20 [0.20, 0.20]"
meta-llama/Llama-4-Scout-17B-16E-Instruct,"147.90 [147.90, 147.90]","13.47 [13.47, 13.47]","0.00 [0.00, 0.00]","-83.33 [-83.33, -83.33]","13.02 [13.02, 13.02]","0.00 [0.00, 0.00]"
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,"-67.36 [-67.36, -67.36]","13.80 [13.80, 13.80]","0.00 [0.00, 0.00]","-54.39 [-54.39, -54.39]","13.28 [13.28, 13.28]","0.00 [0.00, 0.00]"
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,"31.25 [31.25, 31.25]","11.32 [11.32, 11.32]","0.00 [0.00, 0.00]","46.25 [46.25, 46.25]","11.53 [11.53, 11.53]","0.00 [0.00, 0.00]"
random_agent,"419.08 [419.08, 419.08]","13.42 [13.42, 13.42]","0.20 [0.20, 0.20]","312.37 [312.37, 312.37]","13.79 [13.79, 13.79]","0.10 [0.10, 0.10]"
