condition,baseline,baseline,more_players,more_players
metric,cooperation,coordination,cooperation,coordination
model,,,,
Qwen/Qwen3-14B-Thinking-Off,"1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]"
Qwen/Qwen3-14B-Thinking-On,"0.66 [0.66, 0.66]","0.31 [0.31, 0.31]","0.49 [0.49, 0.49]","0.30 [0.30, 0.30]"
Qwen/Qwen3-235B-A22B-Instruct-2507,"1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","0.95 [0.95, 0.95]","0.65 [0.65, 0.65]"
Qwen/Qwen3-30B-A3B-Thinking-Off,"0.59 [0.59, 0.59]","0.30 [0.30, 0.30]","0.71 [0.71, 0.71]","0.30 [0.30, 0.30]"
Qwen/Qwen3-30B-A3B-Thinking-On,"0.92 [0.92, 0.92]","0.59 [0.59, 0.59]","0.86 [0.86, 0.86]","0.45 [0.45, 0.45]"
Qwen/Qwen3-32B-Thinking-Off,"1.00 [1.00, 1.00]","0.99 [0.99, 0.99]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]"
Qwen/Qwen3-32B-Thinking-On,"0.27 [0.27, 0.27]","0.30 [0.30, 0.30]","0.22 [0.22, 0.22]","0.30 [0.30, 0.30]"
google/gemma-3-27b-it,"1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]"
meta-llama/Llama-3.3-70B-Instruct-Turbo,"0.76 [0.76, 0.76]","0.30 [0.30, 0.30]","0.66 [0.66, 0.66]","0.30 [0.30, 0.30]"
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"0.95 [0.95, 0.95]","0.73 [0.73, 0.73]","0.95 [0.95, 0.95]","0.75 [0.75, 0.75]"
meta-llama/Llama-4-Scout-17B-16E-Instruct,"1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","0.95 [0.95, 0.95]","0.62 [0.62, 0.62]"
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,"0.30 [0.30, 0.30]","0.30 [0.30, 0.30]","0.31 [0.31, 0.31]","0.30 [0.30, 0.30]"
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,"0.93 [0.93, 0.93]","0.59 [0.59, 0.59]","0.52 [0.52, 0.52]","0.30 [0.30, 0.30]"
random_agent,"0.46 [0.46, 0.46]","0.30 [0.30, 0.30]","0.49 [0.49, 0.49]","0.30 [0.30, 0.30]"
