condition,baseline,baseline,baseline,more_players,more_players,more_players
metric,cooperation,rationality,reasoning,cooperation,rationality,reasoning
model,,,,,,
Qwen/Qwen3-14B-Thinking-Off,"1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.78 [0.78, 0.78]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.57 [0.57, 0.57]"
Qwen/Qwen3-14B-Thinking-On,"0.00 [0.00, 0.00]","0.50 [0.50, 0.50]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]"
Qwen/Qwen3-235B-A22B-Instruct-2507,"0.00 [0.00, 0.00]","0.50 [0.50, 0.50]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.08 [0.08, 0.08]"
Qwen/Qwen3-30B-A3B-Thinking-Off,"0.00 [0.00, 0.00]","0.50 [0.50, 0.50]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.57 [0.57, 0.57]"
Qwen/Qwen3-30B-A3B-Thinking-On,"0.00 [0.00, 0.00]","0.50 [0.50, 0.50]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]"
Qwen/Qwen3-32B-Thinking-Off,"1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.11 [0.11, 0.11]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.08 [0.08, 0.08]"
Qwen/Qwen3-32B-Thinking-On,"0.10 [0.10, 0.10]","0.45 [0.45, 0.45]","0.90 [0.90, 0.90]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]"
google/gemma-3-27b-it,"0.00 [0.00, 0.00]","0.50 [0.50, 0.50]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","0.50 [0.50, 0.50]","0.74 [0.74, 0.74]"
meta-llama/Llama-3.3-70B-Instruct-Turbo,"1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.08 [0.08, 0.08]"
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.44 [0.44, 0.44]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.41 [0.41, 0.41]"
meta-llama/Llama-4-Scout-17B-16E-Instruct,"1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.11 [0.11, 0.11]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.08 [0.08, 0.08]"
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,"1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.01 [0.01, 0.01]"
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,"0.10 [0.10, 0.10]","0.45 [0.45, 0.45]","0.90 [0.90, 0.90]","0.20 [0.20, 0.20]","0.10 [0.10, 0.10]","0.63 [0.63, 0.63]"
random_agent,"1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","0.05 [0.05, 0.05]","0.90 [0.90, 0.90]","0.00 [0.00, 0.00]","0.16 [0.16, 0.16]"
