condition,baseline,baseline,baseline,baseline,more_players,more_players,more_players,more_players
metric,judgment,rationality,reasoning,self_awareness,judgment,rationality,reasoning,self_awareness
model,,,,,,,,
Qwen/Qwen3-14B-Thinking-On,"0.95 [0.95, 0.95]","0.43 [0.43, 0.43]","1.00 [1.00, 1.00]","0.71 [0.71, 0.71]","0.96 [0.96, 0.96]","0.32 [0.32, 0.32]","1.00 [1.00, 1.00]","0.81 [0.81, 0.81]"
Qwen/Qwen3-235B-A22B-Instruct-2507,"0.96 [0.96, 0.96]","0.45 [0.45, 0.45]","1.00 [1.00, 1.00]","0.75 [0.75, 0.75]","0.95 [0.95, 0.95]","0.35 [0.35, 0.35]","1.00 [1.00, 1.00]","0.75 [0.75, 0.75]"
Qwen/Qwen3-30B-A3B-Thinking-Off,"0.97 [0.97, 0.97]","0.42 [0.42, 0.42]","1.00 [1.00, 1.00]","0.83 [0.83, 0.83]","0.97 [0.97, 0.97]","0.32 [0.32, 0.32]","1.00 [1.00, 1.00]","0.83 [0.83, 0.83]"
Qwen/Qwen3-30B-A3B-Thinking-On,"0.95 [0.95, 0.95]","0.46 [0.46, 0.46]","0.99 [0.99, 0.99]","0.72 [0.72, 0.72]","0.97 [0.97, 0.97]","0.32 [0.32, 0.32]","0.99 [0.99, 0.99]","0.82 [0.82, 0.82]"
Qwen/Qwen3-32B-Thinking-Off,"0.88 [0.88, 0.88]","0.53 [0.53, 0.53]","1.00 [1.00, 1.00]","0.67 [0.67, 0.67]","0.96 [0.96, 0.96]","0.31 [0.31, 0.31]","1.00 [1.00, 1.00]","0.83 [0.83, 0.83]"
Qwen/Qwen3-32B-Thinking-On,"0.95 [0.95, 0.95]","0.44 [0.44, 0.44]","0.99 [0.99, 0.99]","0.73 [0.73, 0.73]","0.88 [0.88, 0.88]","0.38 [0.38, 0.38]","1.00 [1.00, 1.00]","0.71 [0.71, 0.71]"
google/gemma-3-27b-it,"0.96 [0.96, 0.96]","0.43 [0.43, 0.43]","1.00 [1.00, 1.00]","0.77 [0.77, 0.77]","0.96 [0.96, 0.96]","0.33 [0.33, 0.33]","1.00 [1.00, 1.00]","0.77 [0.77, 0.77]"
meta-llama/Llama-3.3-70B-Instruct-Turbo,"1.00 [1.00, 1.00]","0.18 [0.18, 0.18]","0.67 [0.67, 0.67]","0.89 [0.89, 0.89]","1.00 [1.00, 1.00]","0.12 [0.12, 0.12]","0.67 [0.67, 0.67]","0.89 [0.89, 0.89]"
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"0.16 [0.16, 0.16]","0.66 [0.66, 0.66]","1.00 [1.00, 1.00]","0.25 [0.25, 0.25]","0.10 [0.10, 0.10]","0.79 [0.79, 0.79]","1.00 [1.00, 1.00]","0.25 [0.25, 0.25]"
meta-llama/Llama-4-Scout-17B-16E-Instruct,"0.80 [0.80, 0.80]","0.75 [0.75, 0.75]","1.00 [1.00, 1.00]","0.22 [0.22, 0.22]","0.74 [0.74, 0.74]","0.80 [0.80, 0.80]","1.00 [1.00, 1.00]","0.17 [0.17, 0.17]"
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,"0.16 [0.16, 0.16]","0.67 [0.67, 0.67]","1.00 [1.00, 1.00]","0.18 [0.18, 0.18]","0.11 [0.11, 0.11]","0.80 [0.80, 0.80]","1.00 [1.00, 1.00]","0.20 [0.20, 0.20]"
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,"0.98 [0.98, 0.98]","0.41 [0.41, 0.41]","0.97 [0.97, 0.97]","0.84 [0.84, 0.84]","1.00 [1.00, 1.00]","0.12 [0.12, 0.12]","0.67 [0.67, 0.67]","0.83 [0.83, 0.83]"
random_agent,"0.65 [0.65, 0.65]","0.47 [0.47, 0.47]","0.82 [0.82, 0.82]","0.27 [0.27, 0.27]","0.63 [0.63, 0.63]","0.36 [0.36, 0.36]","0.79 [0.79, 0.79]","0.28 [0.28, 0.28]"
