Game,Condition,MAgIC Metric,Performance Metric,r-value,p-value,n
athey_bagwell,pooled,rationality,win_rate,0.8496631487037335,0.0002359751395666,13
athey_bagwell,pooled,rationality,average_profit,0.8750629721542507,8.973910585678623e-05,13
athey_bagwell,pooled,deception,win_rate,-0.4345517917377214,0.1378517097160954,13
athey_bagwell,pooled,deception,average_profit,-0.694072416986829,0.008490682943725,13
athey_bagwell,pooled,cooperation,win_rate,0.6917815651268623,0.0088027478716529,13
athey_bagwell,pooled,cooperation,average_profit,0.8406519609554001,0.0003191477492394,13
athey_bagwell,pooled,reasoning,win_rate,-0.2629291883165647,0.3854474477507841,13
athey_bagwell,pooled,reasoning,average_profit,-0.0998686949704431,0.7454745802515758,13
green_porter,pooled,cooperation,win_rate,0.3075735885266428,0.3066433887607097,13
green_porter,pooled,cooperation,average_profit,-0.716371469019568,0.0058739361069438,13
green_porter,pooled,coordination,win_rate,0.4854052146415638,0.0926685124090609,13
green_porter,pooled,coordination,average_profit,-0.783863577158967,0.0015187794164099,13
salop,pooled,rationality,win_rate,0.9564872574648412,3.185361124660721e-07,13
salop,pooled,rationality,average_profit,0.7962010199642702,0.0011276999751855,13
salop,pooled,reasoning,win_rate,0.842263693055495,0.0003027805197666,13
salop,pooled,reasoning,average_profit,0.9298056241618172,4.196377499916908e-06,13
salop,pooled,cooperation,win_rate,-0.7417635569379328,0.0037009362983727,13
salop,pooled,cooperation,average_profit,-0.5712350702225465,0.0414268369995077,13
spulber,pooled,rationality,win_rate,-0.3739113703636004,0.2311737865108155,12
spulber,pooled,rationality,average_profit,0.0089384383372313,0.978005405016414,12
spulber,pooled,self_awareness,win_rate,0.5795021165637516,0.0482939367077169,12
spulber,pooled,self_awareness,average_profit,0.220581268297475,0.4908729540099759,12
spulber,pooled,judgment,win_rate,0.5383272139695123,0.0709783817127145,12
spulber,pooled,judgment,average_profit,0.2344154092890435,0.4633487687234479,12
spulber,pooled,reasoning,win_rate,0.551987016244356,0.0627759943155139,12
spulber,pooled,reasoning,average_profit,0.8149090737872899,0.0012424539557212,12
athey_bagwell,more_players,rationality,win_rate,0.8496631487037335,0.0002359751395666,13
athey_bagwell,more_players,rationality,average_profit,0.8750629721542507,8.973910585678623e-05,13
athey_bagwell,more_players,deception,win_rate,-0.4345517917377214,0.1378517097160954,13
athey_bagwell,more_players,deception,average_profit,-0.694072416986829,0.008490682943725,13
athey_bagwell,more_players,cooperation,win_rate,0.6917815651268623,0.0088027478716529,13
athey_bagwell,more_players,cooperation,average_profit,0.8406519609554001,0.0003191477492394,13
athey_bagwell,more_players,reasoning,win_rate,-0.2629291883165647,0.3854474477507841,13
athey_bagwell,more_players,reasoning,average_profit,-0.0998686949704431,0.7454745802515758,13
green_porter,more_players,cooperation,win_rate,0.3075735885266428,0.3066433887607097,13
green_porter,more_players,cooperation,average_profit,-0.716371469019568,0.0058739361069438,13
green_porter,more_players,coordination,win_rate,0.4854052146415638,0.0926685124090609,13
green_porter,more_players,coordination,average_profit,-0.783863577158967,0.0015187794164099,13
salop,more_players,rationality,win_rate,0.9564872574648412,3.185361124660721e-07,13
salop,more_players,rationality,average_profit,0.7962010199642702,0.0011276999751855,13
salop,more_players,reasoning,win_rate,0.842263693055495,0.0003027805197666,13
salop,more_players,reasoning,average_profit,0.9298056241618172,4.196377499916908e-06,13
salop,more_players,cooperation,win_rate,-0.7417635569379328,0.0037009362983727,13
salop,more_players,cooperation,average_profit,-0.5712350702225465,0.0414268369995077,13
spulber,more_players,rationality,win_rate,-0.3739113703636004,0.2311737865108155,12
spulber,more_players,rationality,average_profit,0.0089384383372313,0.978005405016414,12
spulber,more_players,self_awareness,win_rate,0.5795021165637516,0.0482939367077169,12
spulber,more_players,self_awareness,average_profit,0.220581268297475,0.4908729540099759,12
spulber,more_players,judgment,win_rate,0.5383272139695123,0.0709783817127145,12
spulber,more_players,judgment,average_profit,0.2344154092890435,0.4633487687234479,12
spulber,more_players,reasoning,win_rate,0.551987016244356,0.0627759943155139,12
spulber,more_players,reasoning,average_profit,0.8149090737872899,0.0012424539557212,12
