,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,game,target_metric
intercept,1.178,6.263,-10.475,12.831,0.109,0.075,3319.0,4309.0,1.0,athey_bagwell,win_rate
is_gen_2_5,0.144,10.16,-18.332,19.44,0.114,0.128,8008.0,5690.0,1.0,athey_bagwell,win_rate
is_lite,-0.006,9.952,-18.906,18.355,0.114,0.112,7611.0,5430.0,1.0,athey_bagwell,win_rate
is_5_player,0.138,0.285,-0.357,0.705,0.004,0.003,6399.0,5488.0,1.0,athey_bagwell,win_rate
rationality,2.479,0.368,1.81,3.18,0.005,0.004,6246.0,5464.0,1.0,athey_bagwell,win_rate
coordination,-0.817,7.922,-16.122,13.93,0.122,0.09,4190.0,4573.0,1.0,athey_bagwell,win_rate
deception,1.771,6.285,-9.512,13.921,0.108,0.074,3373.0,4252.0,1.0,athey_bagwell,win_rate
reasoning,-0.718,8.075,-15.935,14.328,0.126,0.089,4104.0,4859.0,1.0,athey_bagwell,win_rate
kappa,17.185,5.468,7.4,27.33,0.071,0.067,5474.0,5114.0,1.0,athey_bagwell,win_rate
intercept,1.073,7.704,-13.165,15.894,0.107,0.083,5194.0,5188.0,1.0,green_porter,win_rate
is_gen_2_5,0.288,10.106,-19.241,18.625,0.117,0.118,7393.0,5371.0,1.0,green_porter,win_rate
is_lite,-0.085,10.092,-19.002,18.95,0.104,0.124,9366.0,5381.0,1.0,green_porter,win_rate
is_5_player,0.019,0.198,-0.366,0.383,0.002,0.003,7334.0,4633.0,1.0,green_porter,win_rate
rationality,1.249,7.792,-13.605,15.688,0.114,0.087,4625.0,4646.0,1.0,green_porter,win_rate
cooperation,1.027,6.379,-10.867,13.07,0.1,0.075,4072.0,4481.0,1.0,green_porter,win_rate
deception,0.196,6.382,-11.462,12.436,0.1,0.075,4077.0,4431.0,1.0,green_porter,win_rate
kappa,119.723,40.959,47.043,193.249,0.501,0.518,6759.0,4872.0,1.0,green_porter,win_rate
intercept,-0.156,4.087,-8.485,8.348,1.405,0.9,8.0,11.0,1.4,green_porter,reversion_frequency
is_gen_2_5,1.101,9.971,-16.748,18.875,1.866,0.414,30.0,318.0,1.11,green_porter,reversion_frequency
is_lite,0.19,9.851,-18.246,18.798,0.625,0.315,247.0,431.0,1.02,green_porter,reversion_frequency
is_5_player,-0.027,0.004,-0.033,-0.02,0.0,0.0,97.0,294.0,1.05,green_porter,reversion_frequency
rationality,-2.793,4.17,-11.724,2.974,1.25,0.77,13.0,23.0,1.24,green_porter,reversion_frequency
cooperation,1.17,3.682,-4.258,10.265,1.614,0.898,6.0,14.0,2.01,green_porter,reversion_frequency
deception,1.26,3.682,-4.228,10.287,1.615,0.898,6.0,14.0,2.01,green_porter,reversion_frequency
kappa,117688.06,41692.403,44442.966,194926.263,5016.606,3279.853,103.0,149.0,1.06,green_porter,reversion_frequency
intercept,1.277,3.014,-4.329,7.013,0.05,0.038,3606.0,4490.0,1.0,salop,win_rate
