game,target_metric,r2_type,r2_value
athey_bagwell,average_profit,R-squared,-0.016576603219129016
athey_bagwell,win_rate,Pseudo R-squared,0.8225440426585972
green_porter,average_profit,R-squared,0.9901030522486308
green_porter,win_rate,Pseudo R-squared,0.1334535104498923
green_porter,reversion_frequency,Pseudo R-squared,0.9144286621156298
salop,average_profit,R-squared,0.838450828528025
salop,win_rate,Pseudo R-squared,0.5578713591916016
salop,market_price,R-squared,0.5642713703986391
spulber,average_profit,R-squared,0.07368584954101531
spulber,win_rate,Pseudo R-squared,0.9723145247826229
spulber,allocative_efficiency,Pseudo R-squared,0.9543466991771713
