variable,vif,game,group
is_qwen3,2.7441902604952033,athey_bagwell,Architectural
is_llama3_1,1.1165709822706924,athey_bagwell,Architectural
is_moe,2.5541775796137025,athey_bagwell,Architectural
thinking_enabled,1.8307160011220311,athey_bagwell,Architectural
param_size_z,2.1774103595383067,athey_bagwell,Architectural
cooperation,526.5254286133454,athey_bagwell,Strategic
deception,5.675363680676323,athey_bagwell,Strategic
rationality,157.5649434497234,athey_bagwell,Strategic
reasoning,172.88160985127658,athey_bagwell,Strategic
is_qwen3,9.087111176633709,athey_bagwell,Both
is_llama3_1,3.014432572714984,athey_bagwell,Both
is_moe,3.373295583322875,athey_bagwell,Both
thinking_enabled,3.272327739065498,athey_bagwell,Both
param_size_z,3.4654805343828077,athey_bagwell,Both
cooperation,555.4274375973365,athey_bagwell,Both
deception,6.356502949537057,athey_bagwell,Both
rationality,207.56423287703566,athey_bagwell,Both
reasoning,213.77979218295053,athey_bagwell,Both
is_qwen3,2.7441902604952033,green_porter,Architectural
is_llama3_1,1.1165709822706924,green_porter,Architectural
is_moe,2.5541775796137025,green_porter,Architectural
thinking_enabled,1.8307160011220311,green_porter,Architectural
param_size_z,2.1774103595383067,green_porter,Architectural
cooperation,13.96523439845504,green_porter,Strategic
coordination,13.96523439845504,green_porter,Strategic
is_qwen3,5.364748120131013,green_porter,Both
is_llama3_1,1.4711189662126436,green_porter,Both
is_moe,4.149493699853043,green_porter,Both
thinking_enabled,2.126637810047248,green_porter,Both
param_size_z,2.5304693335010207,green_porter,Both
cooperation,23.918833014677983,green_porter,Both
coordination,20.105832634897354,green_porter,Both
is_qwen3,2.7441902604952033,salop,Architectural
is_llama3_1,1.1165709822706924,salop,Architectural
is_moe,2.5541775796137025,salop,Architectural
thinking_enabled,1.8307160011220311,salop,Architectural
param_size_z,2.1774103595383067,salop,Architectural
cooperation,1.4888218142489764,salop,Strategic
rationality,6.807815931133765,salop,Strategic
reasoning,7.715528156895045,salop,Strategic
is_qwen3,7.115140380583632,salop,Both
is_llama3_1,2.0092361237818537,salop,Both
is_moe,4.569017604514833,salop,Both
thinking_enabled,25.7257488114912,salop,Both
param_size_z,3.569634102607426,salop,Both
cooperation,4.004706011936282,salop,Both
rationality,40.40236616125354,salop,Both
reasoning,18.84844437301745,salop,Both
is_qwen3,2.7441902604952033,spulber,Architectural
is_llama3_1,1.1165709822706924,spulber,Architectural
is_moe,2.5541775796137025,spulber,Architectural
thinking_enabled,1.8307160011220311,spulber,Architectural
param_size_z,2.1774103595383067,spulber,Architectural
judgment,24.012363217195556,spulber,Strategic
rationality,83.57157469245533,spulber,Strategic
reasoning,206.26724592120954,spulber,Strategic
self_awareness,66.29021438357731,spulber,Strategic
is_qwen3,8.898056210639842,spulber,Both
is_llama3_1,3.874010304266125,spulber,Both
is_moe,3.282879770242503,spulber,Both
thinking_enabled,2.1501131262792716,spulber,Both
param_size_z,3.8485344340004684,spulber,Both
judgment,40.11362008666656,spulber,Both
rationality,119.95424460526664,spulber,Both
reasoning,346.30654478795464,spulber,Both
self_awareness,83.86564007251789,spulber,Both
