variable,vif,game,group
cooperation,555.4274375973365,athey_bagwell,Both
reasoning,213.77979218295053,athey_bagwell,Both
rationality,207.5642328770357,athey_bagwell,Both
cooperation,526.5254286133454,athey_bagwell,Strategic
reasoning,172.88160985127658,athey_bagwell,Strategic
rationality,157.5649434497234,athey_bagwell,Strategic
cooperation,23.918833014677983,green_porter,Both
coordination,20.105832634897354,green_porter,Both
cooperation,13.96523439845504,green_porter,Strategic
coordination,13.96523439845504,green_porter,Strategic
rationality,40.40236616125354,salop,Both
thinking_enabled,25.7257488114912,salop,Both
reasoning,18.84844437301745,salop,Both
reasoning,346.30654478795464,spulber,Both
rationality,119.95424460526664,spulber,Both
self_awareness,83.86564007251789,spulber,Both
judgment,40.11362008666656,spulber,Both
reasoning,206.2672459212095,spulber,Strategic
rationality,83.57157469245533,spulber,Strategic
self_awareness,66.29021438357731,spulber,Strategic
judgment,24.012363217195556,spulber,Strategic
