condition,baseline,baseline,baseline,more_players,more_players,more_players
metric,average_profit,reversion_frequency,win_rate,average_profit,reversion_frequency,win_rate
model,,,,,,
Qwen/Qwen3-14B-Thinking-Off,"2622.66 [2622.66, 2622.66]","0.09 [0.09, 0.09]","1.00 [1.00, 1.00]","1490.61 [1490.61, 1490.61]","0.08 [0.08, 0.08]","1.00 [1.00, 1.00]"
Qwen/Qwen3-235B-A22B-Instruct-2507,"2622.66 [2622.66, 2622.66]","0.09 [0.09, 0.09]","1.00 [1.00, 1.00]","1518.21 [1518.21, 1518.21]","0.08 [0.08, 0.08]","1.00 [1.00, 1.00]"
Qwen/Qwen3-30B-A3B-Thinking-Off,"2868.86 [2868.86, 2868.86]","0.10 [0.10, 0.10]","1.00 [1.00, 1.00]","1834.06 [1834.06, 1834.06]","0.09 [0.09, 0.09]","1.00 [1.00, 1.00]"
Qwen/Qwen3-32B-Thinking-Off,"2622.66 [2622.66, 2622.66]","0.09 [0.09, 0.09]","1.00 [1.00, 1.00]","1490.61 [1490.61, 1490.61]","0.08 [0.08, 0.08]","1.00 [1.00, 1.00]"
google/gemma-3-27b-it,"2622.66 [2622.66, 2622.66]","0.09 [0.09, 0.09]","1.00 [1.00, 1.00]","1490.61 [1490.61, 1490.61]","0.08 [0.08, 0.08]","1.00 [1.00, 1.00]"
meta-llama/Llama-3.3-70B-Instruct-Turbo,"2903.32 [2903.32, 2903.32]","0.10 [0.10, 0.10]","1.00 [1.00, 1.00]","1888.41 [1888.41, 1888.41]","0.09 [0.09, 0.09]","1.00 [1.00, 1.00]"
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"2622.66 [2622.66, 2622.66]","0.09 [0.09, 0.09]","1.00 [1.00, 1.00]","1491.18 [1491.18, 1491.18]","0.08 [0.08, 0.08]","1.00 [1.00, 1.00]"
meta-llama/Llama-4-Scout-17B-16E-Instruct,"2667.54 [2667.54, 2667.54]","0.09 [0.09, 0.09]","1.00 [1.00, 1.00]","1655.06 [1655.06, 1655.06]","0.08 [0.08, 0.08]","1.00 [1.00, 1.00]"
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,"2904.37 [2904.37, 2904.37]","0.11 [0.11, 0.11]","1.00 [1.00, 1.00]","1893.07 [1893.07, 1893.07]","0.10 [0.10, 0.10]","1.00 [1.00, 1.00]"
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,"2754.56 [2754.56, 2754.56]","0.10 [0.10, 0.10]","1.00 [1.00, 1.00]","1624.99 [1624.99, 1624.99]","0.10 [0.10, 0.10]","1.00 [1.00, 1.00]"
random_agent,"2859.45 [2859.45, 2859.45]","0.11 [0.11, 0.11]","1.00 [1.00, 1.00]","1713.81 [1713.81, 1713.81]","0.10 [0.10, 0.10]","1.00 [1.00, 1.00]"
