condition,baseline,baseline,baseline,more_players,more_players,more_players
metric,cooperation,deception,rationality,cooperation,deception,rationality
model,,,,,,
Qwen/Qwen3-14B-Thinking-Off,"1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]"
Qwen/Qwen3-235B-A22B-Instruct-2507,"1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]","0.99 [0.99, 0.99]","0.01 [0.01, 0.01]","0.99 [0.99, 0.99]"
Qwen/Qwen3-30B-A3B-Thinking-Off,"0.78 [0.78, 0.78]","0.22 [0.22, 0.22]","0.78 [0.78, 0.78]","0.72 [0.72, 0.72]","0.28 [0.28, 0.28]","0.72 [0.72, 0.72]"
Qwen/Qwen3-32B-Thinking-Off,"1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]"
google/gemma-3-27b-it,"1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]"
meta-llama/Llama-3.3-70B-Instruct-Turbo,"0.80 [0.80, 0.80]","0.20 [0.20, 0.20]","0.80 [0.80, 0.80]","0.74 [0.74, 0.74]","0.26 [0.26, 0.26]","0.74 [0.74, 0.74]"
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]","0.99 [0.99, 0.99]","0.01 [0.01, 0.01]","0.99 [0.99, 0.99]"
meta-llama/Llama-4-Scout-17B-16E-Instruct,"0.98 [0.98, 0.98]","0.02 [0.02, 0.02]","0.98 [0.98, 0.98]","0.95 [0.95, 0.95]","0.05 [0.05, 0.05]","0.95 [0.95, 0.95]"
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,"0.54 [0.54, 0.54]","0.46 [0.46, 0.46]","0.54 [0.54, 0.54]","0.44 [0.44, 0.44]","0.56 [0.56, 0.56]","0.44 [0.44, 0.44]"
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,"0.60 [0.60, 0.60]","0.40 [0.40, 0.40]","0.60 [0.60, 0.60]","0.60 [0.60, 0.60]","0.40 [0.40, 0.40]","0.60 [0.60, 0.60]"
random_agent,"0.45 [0.45, 0.45]","0.55 [0.55, 0.55]","0.45 [0.45, 0.45]","0.51 [0.51, 0.51]","0.49 [0.49, 0.49]","0.51 [0.51, 0.51]"
