condition,baseline,baseline,baseline,more_players,more_players,more_players
metric,average_profit,reversion_frequency,win_rate,average_profit,reversion_frequency,win_rate
model,,,,,,
Qwen/Qwen3-14B-Thinking-Off,"2622.66 [2622.66, 2622.66]","0.09 [0.09, 0.09]","1.00 [1.00, 1.00]","1490.61 [1490.61, 1490.61]","0.08 [0.08, 0.08]","1.00 [1.00, 1.00]"
Qwen/Qwen3-235B-A22B-Instruct-2507,"2622.66 [2622.66, 2622.66]","0.09 [0.09, 0.09]","1.00 [1.00, 1.00]","1607.29 [1607.29, 1607.29]","0.08 [0.08, 0.08]","1.00 [1.00, 1.00]"
Qwen/Qwen3-30B-A3B-Thinking-Off,"2868.86 [2868.86, 2868.86]","0.10 [0.10, 0.10]","1.00 [1.00, 1.00]","1834.06 [1834.06, 1834.06]","0.09 [0.09, 0.09]","1.00 [1.00, 1.00]"
Qwen/Qwen3-32B-Thinking-Off,"2622.66 [2622.66, 2622.66]","0.09 [0.09, 0.09]","1.00 [1.00, 1.00]","1490.61 [1490.61, 1490.61]","0.08 [0.08, 0.08]","1.00 [1.00, 1.00]"
google/gemma-3-27b-it,"2622.66 [2622.66, 2622.66]","0.09 [0.09, 0.09]","1.00 [1.00, 1.00]","1490.61 [1490.61, 1490.61]","0.08 [0.08, 0.08]","1.00 [1.00, 1.00]"
meta-llama/Llama-3.3-70B-Instruct-Turbo,"2868.55 [2868.55, 2868.55]","0.10 [0.10, 0.10]","1.00 [1.00, 1.00]","1869.78 [1869.78, 1869.78]","0.09 [0.09, 0.09]","1.00 [1.00, 1.00]"
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"2622.66 [2622.66, 2622.66]","0.09 [0.09, 0.09]","1.00 [1.00, 1.00]","1490.68 [1490.68, 1490.68]","0.08 [0.08, 0.08]","1.00 [1.00, 1.00]"
meta-llama/Llama-4-Scout-17B-16E-Instruct,"2742.19 [2742.19, 2742.19]","0.09 [0.09, 0.09]","1.00 [1.00, 1.00]","1687.23 [1687.23, 1687.23]","0.08 [0.08, 0.08]","1.00 [1.00, 1.00]"
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,"2912.81 [2912.81, 2912.81]","0.10 [0.10, 0.10]","1.00 [1.00, 1.00]","1907.15 [1907.15, 1907.15]","0.10 [0.10, 0.10]","1.00 [1.00, 1.00]"
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,"2783.59 [2783.59, 2783.59]","0.10 [0.10, 0.10]","1.00 [1.00, 1.00]","1622.74 [1622.74, 1622.74]","0.10 [0.10, 0.10]","1.00 [1.00, 1.00]"
random_agent,"2837.26 [2837.26, 2837.26]","0.10 [0.10, 0.10]","1.00 [1.00, 1.00]","1730.29 [1730.29, 1730.29]","0.10 [0.10, 0.10]","1.00 [1.00, 1.00]"
