condition,baseline,baseline,baseline,more_players,more_players,more_players
metric,cooperation,deception,rationality,cooperation,deception,rationality
model,,,,,,
Qwen/Qwen3-14B-Thinking-Off,"1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]"
Qwen/Qwen3-235B-A22B-Instruct-2507,"1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]","0.96 [0.96, 0.96]","0.04 [0.04, 0.04]","0.96 [0.96, 0.96]"
Qwen/Qwen3-30B-A3B-Thinking-Off,"0.78 [0.78, 0.78]","0.22 [0.22, 0.22]","0.78 [0.78, 0.78]","0.72 [0.72, 0.72]","0.28 [0.28, 0.28]","0.72 [0.72, 0.72]"
Qwen/Qwen3-32B-Thinking-Off,"1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]"
google/gemma-3-27b-it,"1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]"
meta-llama/Llama-3.3-70B-Instruct-Turbo,"0.85 [0.85, 0.85]","0.15 [0.15, 0.15]","0.85 [0.85, 0.85]","0.80 [0.80, 0.80]","0.20 [0.20, 0.20]","0.80 [0.80, 0.80]"
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"1.00 [1.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]","0.99 [0.99, 0.99]","0.01 [0.01, 0.01]","0.99 [0.99, 0.99]"
meta-llama/Llama-4-Scout-17B-16E-Instruct,"0.96 [0.96, 0.96]","0.04 [0.04, 0.04]","0.96 [0.96, 0.96]","0.94 [0.94, 0.94]","0.06 [0.06, 0.06]","0.94 [0.94, 0.94]"
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,"0.53 [0.53, 0.53]","0.47 [0.47, 0.47]","0.53 [0.53, 0.53]","0.45 [0.45, 0.45]","0.55 [0.55, 0.55]","0.45 [0.45, 0.45]"
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,"0.61 [0.61, 0.61]","0.39 [0.39, 0.39]","0.61 [0.61, 0.61]","0.63 [0.63, 0.63]","0.37 [0.37, 0.37]","0.63 [0.63, 0.63]"
random_agent,"0.49 [0.49, 0.49]","0.51 [0.51, 0.51]","0.49 [0.49, 0.49]","0.52 [0.52, 0.52]","0.48 [0.48, 0.48]","0.52 [0.52, 0.52]"
